위치,시설,규모,최대 수용인원,이동약자 접근성
"신주소: 서울특별시 광진구 능동로 지하 417 (중곡동, 7호선 중곡역)
구주소: 서울특별시 광진구 중곡동 273번지 2호","중곡역 대합실 지하1~3층
(공공시설)",7233㎡,8752명,정보 없음
"신주소: 서울특별시 광진구 능동로17길 39 (화양동, 화양동주민센터)
구주소: 서울특별시 광진구 화양동 122번지","화양동 주민센터 지하 2층
(공공시설)",655㎡,793명,정보 없음
"신주소: 서울특별시 광진구 능동로1길 15 (자양동, 한강우성아파트)
구주소: 서울특별시 광진구 자양동 87번지 1호","한강우성아파트 지하주차장 1층
(공공시설)",496㎡,600명,정보 없음
"신주소: 서울특별시 광진구 능동로27길 12 (군자동)
구주소: 서울특별시 광진구 군자동 2-41","군자동 공영주차장 지하1층
(공공시설)",1075㎡,1301명,정보 없음
"신주소: 서울특별시 광진구 능동로3길 17 (자양동, 성원아파트)
구주소: 서울특별시 광진구 자양동 831번지 1호","한강성원아파트 지하주차장 1층
(공공시설)",3871㎡,4684명,정보 없음
"신주소: 서울특별시 광진구 능동로3길 53 (자양동, 극동아파트)
구주소: 서울특별시 광진구 자양동 57번지 103호","한강극동아파트 지하주차장 1층
(공공시설)",1745㎡,2111명,정보 없음
"신주소: 서울특별시 광진구 능동로3다길 13 (자양동, 한강아남아파트)
구주소: 서울특별시 광진구 자양동 830번지","한강아남아파트 지하주차장 1층
(공공시설)",673㎡,814명,정보 없음
"신주소: 서울특별시 광진구 능동로4길 40, 지하주차장 1층 (자양동, 이튼타워리버5차)
구주소: 서울특별시 광진구 자양동 856 이튼타워리버5차","이튼타워리버5차아파트 지하주차장 1~2층
(공공시설)",9414㎡,11391명,정보 없음
"신주소: 서울특별시 광진구 동일로 323 (중곡동)
구주소: 서울특별시 광진구 중곡동 611번지 7호","군자지하보도 지하1층
(공공시설)",518㎡,627명,정보 없음
"신주소: 서울특별시 광진구 동일로 462 (중곡동, 케이티앤지성동지점)
구주소: 서울특별시 광진구 중곡동 587번지 2호","케이티앤지성동지사 주차장 지하1층
(공공시설)",1477㎡,1787명,정보 없음
"신주소: 서울특별시 광진구 동일로18길 10 (자양동, 한영해시안아파트)
구주소: 서울특별시 광진구 자양동 858번지","한영해시안아파트 지하주차장 1층
(공공시설)",1009㎡,1221명,정보 없음
"신주소: 서울특별시 광진구 동일로76가길 28, 중곡제3동주민센터 (중곡동)
구주소: 서울특별시 광진구 중곡동 684 중곡제3동주민센터","중곡제3동주민센터
(공공시설)",1508㎡,1825명,정보 없음
"신주소: 서울특별시 광진구 뚝섬로 568, 자양제3동주민센터  지하1층 (자양동)
구주소: 서울특별시 광진구 자양동 519-10 자양제3동주민센터","자양3동주민센터 지하1층
(공공시설)",149㎡,180명,정보 없음
"신주소: 서울특별시 광진구 뚝섬로26길 58 (자양동, 자양제4동주민센터)
구주소: 서울특별시 광진구 자양동 63번지 1호","자양4동주민센터 지하주차장 1층
(공공시설)",218㎡,264명,정보 없음
"신주소: 서울특별시 광진구 뚝섬로31길 20 (자양동, 대동아파트)
구주소: 서울특별시 광진구 자양동 784번지 1호","자양대동아파트  지하주차장 1층
(공공시설)",11520㎡,13939명,정보 없음
"신주소: 서울특별시 광진구 뚝섬로33길 20, 지하주차장 1층 (자양동, 한라아파트)
구주소: 서울특별시 광진구 자양동 762 한라아파트","한라아파트 지하주차장 1~2층
(공공시설)",3033㎡,3670명,정보 없음
"신주소: 서울특별시 광진구 뚝섬로34길 9, 지하주차장 1층 (자양동, 자양2차현대아파트)
구주소: 서울특별시 광진구 자양동 761 자양2차현대아파트","자양현대2차아파트 지하주차장 1~2층
(공공시설)",1913㎡,2315명,정보 없음
"신주소: 서울특별시 광진구 뚝섬로52마길 56 (자양동, 로얄동아아파트)
구주소: 서울특별시 광진구 자양동 644번지","로얄동아아파트 지하주차장 지하1~2층
(공공시설)",11921㎡,14424명,정보 없음
"신주소: 서울특별시 광진구 뚝섬로54길 74 (자양동, 자양5차현대아파트)
구주소: 서울특별시 광진구 자양동 642번지","자양5차현대아파트 지하주차장 지하 1~3층
(공공시설)",12458㎡,15074명,정보 없음
"신주소: 서울특별시 광진구 면목로 127 (중곡동, 신성그랜드타워)
구주소: 서울특별시 광진구 중곡동 231번지 1호","신성그랜드타워 지하주차장 1~2층
(공공시설)",826㎡,999명,정보 없음
"신주소: 서울특별시 광진구 면목로 13, 군자동 복합청사 (군자동)
구주소: 서울특별시 광진구 군자동 48-15 군자동 복합청사","군자동 복합청사 지하주차장 지하1~2층
(공공시설)",624㎡,755명,정보 없음
"신주소: 서울특별시 광진구 아차산로 345 (자양동)
구주소: 서울특별시 광진구 자양동 859번지","래미안프리미어팰리스아파트 102동 지하주차장 1,2층
(공공시설)",10734㎡,12988명,정보 없음
"신주소: 서울특별시 광진구 아차산로 522 (광장동, 현대아파트)
구주소: 서울특별시 광진구 광장동 565번지","광장현대8단지아파트 지하주차장 1~2층
(공공시설)",15199㎡,18391명,정보 없음
"신주소: 서울특별시 광진구 아차산로 627 (광장동, 인성하이텍빌딩)
구주소: 서울특별시 광진구 광장동 344번지","인성하이텍 빌딩 지하주차장 1~2층
(공공시설)",2511㎡,3038명,정보 없음
"신주소: 서울특별시 광진구 아차산로 지하 571 (광장동, 광나루역5호선)
구주소: 서울특별시 광진구 광장동 237번지","광나루역 지하 1~2층
(공공시설)",9166㎡,11091명,정보 없음
