가게명,데이트,혼밥,가족식사,노포,주점,양식,일식,중식,분식,주차,아동편의시설,신식,규모,예약여부,웨이팅,매운정도,가성비,한식,거리
을지깐깐,0.528378598,0.274243675,0,0.031362671,0.047292985,0,0,0,0.028751674,0.496587473,0,0,0.313626714,0.11164272,0.297535072,0.076121753,0,0.029753507
을지로 밑,0,0,0,0.195569187,0.737265854,0,0,0,0,0,0,0.195569187,0,0,0,0.474674789,0.346706074,0.185534872
을지로 양대장,0,0,0,0.055247051,0.333236662,0,0,0,0,0,0,0.110494103,0.110494103,0.524439261,0.524124211,0.268185217,0.489711303,0
을지로골목집,0,0,0,0.132343319,0.299348416,0,0.641955408,0,0.181988258,0,0,0.06617166,0,0.392589011,0.376659041,0.160608218,0.293273658,0.188329521
을지로코이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
을지삼교비,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538816533,0,0.842423138
을지수제비,0,0.48789598,0.463969797,0.267821171,0.252411189,0,0,0,0.061381147,0,0,0.234343524,0.334776463,0,0.063519933,0.081255104,0.29674673,0.190559799
을지식당,0.528923825,0,0,0.031395034,0.236708931,0.497099895,0,0,0.028781342,0,0,0,0.062790068,0.372526409,0,0.076200302,0.278286401,0
을지육점,0.6078251,0,0,0.072156666,0.108807827,0,0,0,0,0.571253893,0,0,0.180391664,0.214048688,0.239590514,0.087567348,0.063959856,0.342272162
이남장 을지로본점,0,0.266072959,0.421708117,0.304282633,0.137651866,0.481792327,0,0,0.055790114,0,0.496570974,0.304282633,0,0.180527462,0,0.07385381,0.080915076,0.14433521
이대헌 스시,0,0,0,0,0.276380021,0,0.635035153,0,0.33604934,0,0,0,0.229104161,0.434959746,0,0.027803452,0.406157051,0
이자카야 해방,0,0,0,0,0.053086464,0,0.975809187,0,0,0,0,0,0.140818627,0,0.133593468,0.085446809,0,0
조선옥,0,0,0.485382958,0.350227086,0.052812097,0.554539444,0,0,0.09632102,0,0,0.350227086,0.350227086,0,0,0.085005195,0.093132661,0.199354526
