위치,시설,규모,최대 수용인원,이동약자 접근성
"신주소: 서울특별시 중구 세종대로 지하 101 (정동, 시청역 1호선)
구주소: 서울특별시 중구 정동 5번지 5호","1호선시청역지하철승강장
(공공시설)",8616㎡,10425명,정보 없음
"신주소: 서울특별시 중구 세종대로 지하 2 (남대문로5가, 서울역 1호선)
구주소: 서울특별시 중구 남대문로5가 73번지 6호","1호선서울역지하철승강장
(공공시설)",9292㎡,11243명,정보 없음
"신주소: 서울특별시 중구 세종대로 지하2, 서울역 1호선 (남대문로5가)
구주소: 서울특별시 중구 남대문로5가 73-6 서울역 1호선","서울역앞지하보도
(공공시설)",1507㎡,1823명,정보 없음
"신주소: 서울특별시 중구 세종대로9길 42, 부영빌딩 (서소문동)
구주소: 서울특별시 중구 서소문동 120-23 부영빌딩","부영빌딩 지하3층
(공공시설)",1380㎡,1670명,정보 없음
"신주소: 서울특별시 중구 소공로 119 (태평로2가, 서울프라자호텔)
구주소: 서울특별시 중구 태평로2가 23번지","프라자호텔 지하2층
(공공시설)",1303㎡,1577명,정보 없음
"신주소: 서울특별시 중구 소공로 지하 102 (남대문로2가, 소공지하쇼핑센터)
구주소: 서울특별시 중구 남대문로2가 9번지 9호","소공지하쇼핑센터
(공공시설)",5655㎡,6843명,정보 없음
"신주소: 서울특별시 중구 소공로 지하 58 (충무로1가, 회현지하쇼핑센터)
구주소: 서울특별시 중구 충무로1가 52번지 41호","회현지하쇼핑센터
(공공시설)",7678㎡,9290명,정보 없음
"신주소: 서울특별시 중구 소월로 10 (남대문로5가, 단암빌딩)
구주소: 서울특별시 중구 남대문로5가 120번지","단암타워빌딩 지하1~2층
(공공시설)",1650㎡,1996명,정보 없음
"신주소: 서울특별시 중구 소월로 3 (남창동, 롯데손해보험빌딩)
구주소: 서울특별시 중구 남창동 51번지 1호","남산입구지하보도
(공공시설)",620㎡,750명,정보 없음
"신주소: 서울특별시 중구 손기정로 101 (만리동2가, 손기정공원)
구주소: 서울특별시 중구 만리동2가 6번지 1호","손기정체육공원 지하주차장1~2층
(공공시설)",6776㎡,8199명,정보 없음
"신주소: 서울특별시 중구 수표로 67 (수표동, 외환은행)
구주소: 서울특별시 중구 수표동 47번지 6호","천수빌딩KEB하나은행 지하1층
(공공시설)",1772㎡,2144명,정보 없음
"신주소: 서울특별시 중구 을지로 지하 106 (을지로3가, 을지로3가역 2호선)
구주소: 서울특별시 중구 을지로3가 347번지 3호","2호선을지로3가역지하철승강장
(공공시설)",6154㎡,7446명,정보 없음
"신주소: 서울특별시 중구 을지로 지하 12 (을지로1가, 시청광장지하쇼핑센터)
구주소: 서울특별시 중구 을지로1가 50번지 1호","시청광장지하쇼핑센터
(공공시설)",1287㎡,1557명,정보 없음
"신주소: 서울특별시 중구 을지로 지하 178 (을지로4가, 을지로4가역 2호선)
구주소: 서울특별시 중구 을지로4가 267번지 1호","을지로4가역지하철승강장
(공공시설)",7656㎡,9264명,정보 없음
"신주소: 서울특별시 중구 을지로 지하 218 (을지로5가, 을지로4구역지하쇼핑)
구주소: 서울특별시 중구 을지로5가 35번지 6호","을지로4구역지하쇼핑센터
(공공시설)",4600㎡,5566명,정보 없음
"신주소: 서울특별시 중구 을지로 지하 279 (을지로7가, 동대문역사문화공원역 2호선)
구주소: 서울특별시 중구 을지로7가 112번지 3호","동대문역사문화공원역지하철승강장
(공공시설)",14468㎡,17506명,정보 없음
"신주소: 서울특별시 중구 을지로 지하 42 (을지로1가, 을지로입구역 2호선)
구주소: 서울특별시 중구 을지로1가 100번지 1호","2호선을지로입구역지하철승강장
(공공시설)",10408㎡,12594명,정보 없음
"신주소: 서울특별시 중구 을지로 지하 88 (을지로2가, 을지로2구역지하쇼핑)
구주소: 서울특별시 중구 을지로2가 149번지 10호","을지로지하상가
(공공시설)",14430㎡,17460명,정보 없음
"신주소: 서울특별시 중구 을지로 지하106, 을지로3가역 2호선 (을지로3가)
구주소: 서울특별시 중구 을지로3가 347-3 을지로3가역 2호선","3호선을지로3가역지하철승강장
(공공시설)",16529㎡,20000명,정보 없음
"신주소: 서울특별시 중구 을지로 지하131, 을지로3구역지하쇼핑 (을지로3가)
구주소: 서울특별시 중구 을지로3가 282-8 을지로3구역지하쇼핑","을지로3구역지하쇼핑센터
(공공시설)",14430㎡,17460명,정보 없음
"신주소: 서울특별시 중구 을지로 지하58, 을지로입구지하쇼핑센터 (을지로2가)
구주소: 서울특별시 중구 을지로2가 9-7 을지로입구지하쇼핑센터","을지로입구지하쇼핑센터
(공공시설)",1815㎡,2196명,정보 없음
"신주소: 서울특별시 중구 을지로39길 40 (을지로6가, 구민회관)
구주소: 서울특별시 중구 을지로6가 18번지 14호","중구구민회관 지하1~3층
(공공시설)",907㎡,1097명,정보 없음
"신주소: 서울특별시 중구 장충단로 60 (장충동2가, 반얀트리 클럽 앤 스파 서울)
구주소: 서울특별시 중구 장충동2가 201번지","반얀트리클럽앤스파서울 지하1~2층
(공공시설)",5179㎡,6267명,정보 없음
"신주소: 서울특별시 중구 정동길 3 (정동)
구주소: 서울특별시 중구 정동 22번지","경향아트힐 지하1층
(공공시설)",476㎡,576명,정보 없음
"신주소: 서울특별시 중구 창경궁로 17 (예관동, 중구청)
구주소: 서울특별시 중구 예관동 120번지 1호","중구청 지하1~3층
(공공시설)",1448㎡,1752명,정보 없음
"신주소: 서울특별시 중구 청계천로 400 (황학동, 롯데캐슬베네치아)
구주소: 서울특별시 중구 황학동 2545번지","베네치아메가몰 지하3~4층
(공공시설)",39896㎡,48274명,정보 없음
"신주소: 서울특별시 중구 청구로 지하 77 (신당동, 청구역 5,6호선)
구주소: 서울특별시 중구 신당동 295번지 2호","청구역지하철승강장
(공공시설)",2138㎡,2587명,정보 없음
"신주소: 서울특별시 중구 청구로1길 23 (신당동, 삼성아파트)
구주소: 서울특별시 중구 신당동 843번지","신당삼성아파트 지하주차장
(공공시설)",33660㎡,40729명,정보 없음
"신주소: 서울특별시 중구 청파로 463 (중림동, 한국경제신문사빌딩)
구주소: 서울특별시 중구 중림동 441번지","한국경제신문사 지하1~5층
(공공시설)",17916㎡,21678명,정보 없음
"신주소: 서울특별시 중구 충무로 13 (충무로3가, 엘크루메트로시티)
구주소: 서울특별시 중구 충무로3가 49번지","엘크루메트로시티 지하2~6층
(공공시설)",8800㎡,10648명,정보 없음
"신주소: 서울특별시 중구 칠패로 36 (봉래동1가, 연세봉래빌딩)
구주소: 서울특별시 중구 봉래동1가 5번지 41호","연세봉래빌딩 지하1~3층
(공공시설)",1808㎡,2188명,정보 없음
"신주소: 서울특별시 중구 통일로 21 (봉래동2가, 서울역앞우체국)
구주소: 서울특별시 중구 봉래동2가 123번지","서울역우체국앞지하보도
(공공시설)",495㎡,599명,정보 없음
"신주소: 서울특별시 중구 퇴계로 286 (쌍림동, 쌍림빌딩)
구주소: 서울특별시 중구 쌍림동 151번지 11호","쌍림빌딩 지하1층
(공공시설)",904㎡,1094명,정보 없음
"신주소: 서울특별시 중구 퇴계로 460, 중구종합복지센터 (신당동)
구주소: 서울특별시 중구 신당동 160-2 중구종합복지센터","중구종합복지센터 지하1~2층
(공공시설)",1648㎡,1994명,정보 없음
"신주소: 서울특별시 중구 퇴계로 지하 126 (충무로2가, 명동역 4호선)
구주소: 서울특별시 중구 충무로2가 109번지 2호","명동역지하철승강장
(공공시설)",9875㎡,11949명,정보 없음
"신주소: 서울특별시 중구 퇴계로 지하 431-1 (신당동)
구주소: 서울특별시 중구 신당동 99번지","2호선신당역지하철승강장
(공공시설)",4171㎡,5047명,정보 없음
"신주소: 서울특별시 중구 퇴계로 지하 54 (남창동, 회현역 4호선)
구주소: 서울특별시 중구 남창동 64번지 1호","4호선회현역지하철승강장
(공공시설)",7955㎡,9626명,정보 없음
"신주소: 서울특별시 중구 퇴계로 지하214, 충무로역 3,4호선 (필동2가)
구주소: 서울특별시 중구 필동2가 16-2 충무로역 3,4호선","3호선충무로역지하철승강장
(공공시설)",15474㎡,18724명,정보 없음
"신주소: 서울특별시 중구 퇴계로 지하214, 충무로역 3,4호선 (필동2가)
구주소: 서울특별시 중구 필동2가 16-2 충무로역 3,4호선","4호선충무로역지하철승강장
(공공시설)",10701㎡,12948명,정보 없음
"신주소: 서울특별시 중구 퇴계로12길 78 (회현동1가, 중구회현체육센터)
구주소: 서울특별시 중구 회현동1가 115번지","중구회현체육센터 지하1층
(공공시설)",1056㎡,1278명,정보 없음
"신주소: 서울특별시 중구 퇴계로45길 32-12 (충무로5가, 묵정경노당)
구주소: 서울특별시 중구 충무로5가 21번지","묵정공원공영주차장 지하1~5층
(공공시설)",4735㎡,5729명,정보 없음
"신주소: 서울특별시 중구 퇴계로85길 지하 56 (황학동, 신당지하쇼핑센터)
구주소: 서울특별시 중구 황학동 370번지 1호","신당지하쇼핑센터
(공공시설)",1412㎡,1709명,정보 없음
